province,district,sector,property_type,bedrooms,bathrooms,square_meters,parking_spaces,year_built,furnished,nearby_school,nearby_hospital,nearby_road,security_level,internet_access,market_demand,house_condition,land_size,predicted_market_value
Southern Province,Kamonyi,Karama,House,4,3,113,1,2023,1,1,1,1,0,1,1,2,370,34200000
Eastern Province,Rwamagana,Musha,Villa,3,2,160,0,2004,1,1,1,1,2,1,1,1,440,42400000
Southern Province,Nyamagabe,Tare,House,3,3,117,0,2009,0,1,0,1,0,2,1,1,570,34200000
Southern Province,Nyamagabe,Buruhukiro,Apartment,1,1,40,1,2020,0,1,1,1,2,1,1,1,170,9700000
Northern Province,Burera,Kinoni,House,3,2,104,2,2008,1,1,1,1,1,0,0,2,440,33400000
Northern Province,Gicumbi,Nyamiyaga,Apartment,2,2,83,1,2024,0,1,1,1,1,1,0,1,400,25600000
Eastern Province,Kirche,Nyarubuye,Apartment,2,1,56,1,2022,0,1,0,1,2,1,1,1,160,15800000
Western Province,Karongi,Bwishyura,House,3,3,116,0,2004,0,1,1,1,1,0,1,1,330,37300000
Eastern Province,Gatsibo,Gitoki,House,3,2,136,3,2004,0,0,1,1,1,2,2,0,300,40800000
Southern Province,Huye,Rusatira,House,3,3,81,2,2006,0,1,1,1,1,2,2,1,320,29800000
Eastern Province,Nyagatare,Kiyombe,House,3,3,155,3,2021,1,1,1,1,2,2,1,1,290,46500000
Eastern Province,Bugesera,Mareba,Mansion,6,5,302,2,2005,1,0,0,1,2,1,1,0,470,116300000
Southern Province,Gisagara,Muganza,Villa,3,3,135,1,1997,0,1,0,1,2,2,1,1,550,39200000
Northern Province,Burera,Butaro,Apartment,2,1,59,1,2008,1,1,1,1,2,0,1,0,270,17900000
Eastern Province,Gatsibo,Rugarama,Apartment,2,1,88,0,2009,1,1,1,1,1,1,1,2,400,24400000
Western Province,Rubavu,Rugerero,House,4,3,130,3,2023,0,1,1,1,2,1,1,2,520,55700000
Northern Province,Rulindo,Burega,Apartment,3,3,75,3,1997,1,1,1,1,2,2,2,0,290,23400000
Kigali City,Gasabo,Rusororo,Villa,3,2,147,1,2003,0,1,1,1,1,0,1,2,540,106400000
Kigali City,Kicukiro,Gahanga,House,2,1,95,2,2001,1,1,0,1,1,0,1,1,310,54400000
Western Province,Rubavu,Mudende,Apartment,2,2,59,3,2006,1,1,1,1,1,2,2,2,170,17000000
Eastern Province,Rwamagana,Gishali,Villa,5,5,222,3,2023,0,1,1,1,1,2,2,1,940,107500000
Eastern Province,Kirche,Gahara,Apartment,3,2,91,2,1996,0,1,0,1,1,2,1,2,400,23800000
Northern Province,Gakenke,Gashenyi,Villa,4,4,157,3,1997,0,1,0,1,1,1,1,1,660,57400000
Northern Province,Gakenke,Karambo,Apartment,1,1,45,0,2022,1,1,1,1,2,1,1,2,140,10500000
Western Province,Rusizi,Muganza,House,4,3,124,3,2021,0,1,1,1,0,1,1,1,470,57500000
Western Province,Nyamasheke,Bushenge,Villa,5,5,229,1,2022,0,1,1,1,2,0,1,1,870,93100000
Western Province,Karongi,Twumba,Villa,4,4,112,1,2010,1,1,1,1,2,2,2,2,210,31500000
Southern Province,Huye,Ngoma,Apartment,1,1,32,3,2018,1,1,0,1,2,2,2,1,80,8400000
Eastern Province,Rwamagana,Muhazi,Apartment,1,1,31,1,1997,1,1,1,1,1,2,1,1,150,6200000
Western Province,Nyamasheke,Kirimbi,Villa,5,4,213,1,1997,1,1,0,1,1,1,2,2,1020,98800000
Southern Province,Huye,Simbi,Apartment,2,2,59,2,2021,0,1,1,1,1,2,0,1,290,19800000
Eastern Province,Kirche,Musaza,Apartment,3,2,76,2,2014,1,1,1,1,0,2,1,1,170,18300000
Kigali City,Gasabo,Nduba,Mansion,5,5,280,2,2007,1,1,1,1,0,2,2,1,1030,335900000
Southern Province,Kamonyi,Musambira,Villa,4,4,119,1,2002,1,1,1,1,2,2,0,2,320,41200000
Eastern Province,Ngoma,Gashanda,Mansion,6,6,283,2,2023,1,1,1,1,1,1,0,0,830,121400000
Southern Province,Nyaruguru,Ruheru,Apartment,2,2,52,0,2019,1,1,1,1,2,2,1,1,240,15400000
Southern Province,Nyamagabe,Musebeya,Villa,5,4,234,3,1999,1,1,1,1,2,2,1,2,980,89100000
Kigali City,Gasabo,Kimihurura,House,3,2,96,0,1996,1,1,1,1,1,2,1,1,240,53500000
Western Province,Rutsiro,Gihango,House,4,4,178,2,1999,0,1,1,1,0,2,0,1,800,79000000
Eastern Province,Rwamagana,Kigabiro,House,3,3,84,3,2004,0,1,1,1,2,1,1,2,270,22400000
Eastern Province,Bugesera,Gashora,House,2,1,72,1,2010,0,1,1,1,2,0,0,1,270,14900000
Western Province,Rutsiro,Gihango,Apartment,2,2,65,1,2014,1,1,1,1,2,2,1,2,150,17600000
Kigali City,Kicukiro,Gikondo,House,4,3,187,1,2016,1,1,0,1,2,1,2,2,380,123300000
Western Province,Nyamasheke,Shangi,Apartment,2,1,51,3,2000,0,1,1,1,0,1,2,1,190,14900000
Western Province,Rubavu,Gisenyi,House,3,2,134,2,2003,0,0,0,1,1,2,0,2,550,51100000
Western Province,Rusizi,Gashonga,Apartment,2,1,59,1,2013,1,1,1,1,1,2,1,1,270,17800000
Northern Province,Burera,Gatebe,Villa,5,4,236,1,1996,1,1,1,1,0,2,2,1,950,79400000
Southern Province,Muhanga,Rongi,Villa,4,4,173,1,2018,1,1,0,1,2,2,2,2,640,71500000
Eastern Province,Gatsibo,Gatsibo,House,3,2,102,1,2023,0,0,1,1,0,2,0,1,490,28600000
Kigali City,Gasabo,Bumbogo,House,2,2,65,2,2019,1,1,1,1,0,1,2,1,280,49700000
Northern Province,Gicumbi,Bukure,Mansion,4,4,198,1,2007,1,1,1,1,1,2,2,0,960,91100000
Southern Province,Gisagara,Save,House,4,4,138,3,2015,1,1,1,1,1,0,1,2,560,65100000
Southern Province,Kamonyi,Kayenzi,Villa,4,3,151,2,2014,0,1,1,1,1,2,2,0,450,55700000
Western Province,Karongi,Gishyita,House,3,3,82,0,1995,0,1,1,1,1,2,2,1,250,21700000
Eastern Province,Rwamagana,Nyakaliro,Villa,3,3,119,0,2022,1,1,1,1,1,1,1,1,190,35500000
Western Province,Ngororero,Matyazo,Apartment,3,2,96,2,2004,1,1,1,1,1,2,1,1,180,22300000
Eastern Province,Ngoma,Jarama,House,4,3,180,2,2019,1,1,1,1,1,1,2,1,320,57000000
Kigali City,Gasabo,Gacuriro,House,4,3,144,1,2004,1,1,1,0,0,2,1,1,390,117700000
Eastern Province,Gatsibo,Kageyo,Apartment,2,2,50,3,2011,1,1,0,1,2,1,1,1,140,12800000
Western Province,Rubavu,Mudende,Villa,5,5,238,3,2024,0,1,0,1,2,2,1,2,440,98700000
Eastern Province,Kirche,Gatore,Apartment,2,1,80,2,2002,1,1,1,1,1,1,1,1,270,20800000
Western Province,Ngororero,Nyange,Villa,4,3,217,2,2008,1,1,1,1,1,2,1,1,760,81900000
Western Province,Nyamasheke,Gihombo,Mansion,6,6,353,0,2003,0,1,1,1,0,2,1,0,1050,159100000
Western Province,Nyamasheke,Cyato,Mansion,6,5,433,0,2022,0,1,1,1,1,1,2,1,860,162100000
Southern Province,Nyamagabe,Mata,Mansion,5,5,288,2,2024,1,1,1,1,2,1,0,1,1310,159200000
Southern Province,Nyaruguru,Cyahinda,Apartment,1,1,58,1,2003,0,1,1,1,2,2,2,1,160,10800000
Northern Province,Burera,Burera,Apartment,1,1,42,1,2008,1,1,1,1,2,2,0,2,140,9500000
Northern Province,Musanze,Gacaca,House,4,4,124,1,2019,1,1,0,1,1,1,1,2,430,67300000
Western Province,Ngororero,Ngororero,Villa,3,2,153,0,2011,1,0,0,1,0,2,2,1,430,41500000
Southern Province,Nyanza,Mukingo,House,3,3,141,2,2016,1,1,1,1,2,1,1,2,310,49900000
Eastern Province,Rwamagana,Munyaga,House,4,3,121,1,1999,0,1,0,1,0,0,0,1,590,41400000
Northern Province,Gakenke,Muzo,Mansion,5,5,283,1,2021,1,1,1,0,1,2,1,2,440,127600000
Southern Province,Nyaruguru,Rusenge,Villa,3,3,122,1,2016,1,0,1,1,1,2,0,2,400,43100000
Southern Province,Nyamagabe,Nkomane,Apartment,3,2,79,2,2007,0,0,1,1,0,2,1,1,360,27400000
Southern Province,Muhanga,Kabacuzi,Villa,3,2,145,2,2001,0,1,0,1,1,2,1,1,320,35400000
Western Province,Nyabihu,Kintobo,Apartment,2,1,88,1,2007,0,0,1,1,2,0,1,1,440,24600000
Northern Province,Gicumbi,Nyamiyaga,Villa,4,3,194,2,2003,0,1,1,1,0,1,2,1,610,57700000
Northern Province,Gicumbi,Miyove,Apartment,2,2,64,2,2019,0,1,1,1,2,1,1,0,250,17700000
Northern Province,Gakenke,Cyabingo,House,5,5,174,1,2023,1,1,0,0,2,1,2,1,700,90100000
Kigali City,Gasabo,Kinyinya,Mansion,5,4,197,2,2013,1,1,0,1,1,1,2,1,540,198800000
Southern Province,Huye,Ruhashya,House,3,3,154,1,2006,1,1,1,1,2,2,0,1,380,53100000
Western Province,Karongi,Mutuntu,House,3,2,155,1,1999,1,1,1,1,2,2,0,2,290,31300000
Northern Province,Musanze,Kimonyi,House,3,3,78,0,2004,0,1,1,1,1,1,2,2,300,31600000
Western Province,Rubavu,Busasamana,Villa,5,4,268,1,2011,1,0,0,1,1,2,2,0,1160,120800000
Eastern Province,Gatsibo,Remera,House,3,3,110,2,2012,0,1,1,1,1,2,1,2,230,33300000
Northern Province,Gakenke,Coko,House,2,2,61,1,2001,1,0,1,1,2,1,2,2,270,16800000
Eastern Province,Rwamagana,Nzige,Apartment,2,1,98,1,2010,1,1,1,1,0,1,1,2,190,21700000
Southern Province,Gisagara,Muganza,House,3,2,100,0,2009,1,1,1,1,2,1,2,1,220,24800000
Western Province,Ngororero,Matyazo,Mansion,5,5,215,2,1995,0,1,1,1,2,0,0,2,1000,81500000
Northern Province,Burera,Cyanika,House,3,3,96,0,2011,1,1,1,1,2,1,0,1,270,30800000
Northern Province,Gakenke,Nemba,Villa,3,2,130,2,2019,1,1,1,1,1,1,1,2,470,51200000
Southern Province,Nyanza,Kigoma,Mansion,5,5,309,0,2012,1,1,1,1,2,2,1,2,1100,118600000
Western Province,Karongi,Rwankuba,House,3,3,145,1,2025,1,1,1,1,1,2,1,1,640,56900000
Northern Province,Musanze,Rwaza,Apartment,1,1,36,0,2010,1,1,1,1,1,2,0,1,140,9500000
Northern Province,Gicumbi,Rutare,Mansion,6,5,321,2,2001,1,1,1,1,1,1,0,2,1180,171200000
Eastern Province,Nyagatare,Rukomo,Villa,5,5,251,1,2008,1,1,0,1,2,2,0,2,550,77600000
Eastern Province,Rwamagana,Gishali,House,3,2,154,0,2021,1,1,1,1,2,0,2,2,490,47700000
Western Province,Nyamasheke,Kagano,Apartment,1,1,33,1,2024,1,1,1,1,2,2,2,1,90,8700000
Northern Province,Rulindo,Tumba,Apartment,1,1,40,1,2005,1,1,1,1,2,1,1,0,70,9400000
Southern Province,Huye,Rusatira,House,3,3,117,1,1996,0,1,0,1,1,2,2,1,220,34900000
Northern Province,Rulindo,Masoro,Apartment,1,1,40,1,2000,0,1,1,1,2,2,1,1,120,10300000
Western Province,Karongi,Mutuntu,House,4,4,165,1,2010,1,1,1,0,1,1,2,0,780,69900000
Kigali City,Nyarugenge,Nyamirambo,House,3,2,97,3,2004,1,1,1,1,1,1,1,2,440,64000000
Northern Province,Gakenke,Minazi,House,3,2,111,3,2001,0,1,1,1,1,2,1,1,510,43800000
Eastern Province,Bugesera,Gashora,House,4,3,174,1,2019,1,1,0,1,2,1,2,1,740,57400000
Northern Province,Gakenke,Ruli,Apartment,3,3,85,3,1999,0,1,1,1,1,2,2,0,200,25700000
Western Province,Rubavu,Busasamana,Apartment,2,1,66,3,2025,1,1,0,0,0,0,2,1,310,20400000
Kigali City,Kicukiro,Kanombe,House,4,3,140,1,2014,1,0,0,1,1,2,2,2,510,132300000
Eastern Province,Nyagatare,Katabagemu,House,4,4,157,1,2018,0,1,1,1,0,1,1,1,370,50800000
Northern Province,Gicumbi,Rubaya,Villa,4,4,219,2,1998,0,1,1,1,1,2,1,1,510,75700000
Western Province,Rubavu,Nyakiriba,House,3,3,133,0,2017,1,1,1,1,0,2,0,1,550,44700000
Western Province,Rubavu,Bugeshi,House,4,4,141,0,2018,1,1,1,1,1,1,0,0,290,44000000
Eastern Province,Gatsibo,Rugarama,Apartment,2,1,57,2,2005,1,1,1,1,1,0,1,1,280,16100000
Eastern Province,Kayonza,Murama,Apartment,1,1,41,2,2006,1,1,1,1,1,2,0,2,90,7500000
Western Province,Rubavu,Rubavu,Villa,3,2,103,2,2017,1,1,1,1,1,2,0,1,250,32100000
Kigali City,Gasabo,Kacyiru,House,3,3,84,2,2021,1,1,0,1,2,1,1,1,310,66700000
Eastern Province,Bugesera,Shyara,Apartment,1,1,39,0,2007,1,1,0,1,1,2,1,2,160,8900000
Eastern Province,Kirche,Kigina,Apartment,2,1,53,3,1996,1,1,1,1,2,0,1,2,90,12000000
Southern Province,Ruhango,Mbuye,Mansion,4,3,197,2,2000,1,1,1,1,0,1,1,0,360,48500000
Eastern Province,Nyagatare,Matimba,House,3,3,98,0,2004,1,1,0,1,1,1,0,2,220,23300000
Southern Province,Gisagara,Kansi,Villa,5,5,252,3,2024,0,1,1,1,1,1,1,1,830,128800000
Southern Province,Kamonyi,Rukoma,House,4,4,220,2,1997,0,1,1,1,0,2,1,0,930,79100000
Northern Province,Gicumbi,Giti,House,4,3,171,1,2003,1,1,1,1,2,2,1,2,720,67800000
Western Province,Ngororero,Kavumu,Villa,5,5,202,1,1997,0,1,1,1,0,2,0,2,660,85100000
Southern Province,Gisagara,Ndora,Apartment,1,1,38,0,2011,1,1,0,1,2,2,1,2,110,7000000
Eastern Province,Rwamagana,Rwamagana,Villa,4,4,112,0,2016,0,1,1,1,2,1,2,2,510,47100000
Eastern Province,Rwamagana,Muyumbu,Apartment,2,1,86,2,1998,1,1,1,0,2,0,2,2,430,21300000
Southern Province,Nyamagabe,Gatare,House,3,2,100,3,1995,1,1,1,1,1,1,1,2,190,22500000
Southern Province,Kamonyi,Kayenzi,Apartment,1,1,51,2,2002,1,1,1,1,1,2,2,2,160,11200000
Eastern Province,Bugesera,Musenyi,House,3,2,160,1,2019,1,1,1,1,2,0,2,1,290,37100000
Western Province,Nyamasheke,Bushekeri,House,2,2,94,1,2007,1,1,0,0,2,1,0,1,420,30400000
Northern Province,Rulindo,Rusiga,Villa,5,4,199,1,2002,1,1,0,1,1,2,1,1,350,75600000
Western Province,Rubavu,Gisenyi,House,3,2,148,2,2022,1,1,1,1,2,0,2,1,710,52800000
Eastern Province,Nyagatare,Rukomo,Villa,4,4,216,1,2017,1,0,1,1,2,1,2,1,560,61800000
Northern Province,Burera,Rugarama,Apartment,3,3,91,2,1996,0,1,1,1,1,1,1,2,300,32200000
Eastern Province,Rwamagana,Rwamagana,Villa,5,5,171,1,2024,0,1,0,1,0,2,1,2,750,81900000
Western Province,Karongi,Rugabano,Mansion,6,6,355,0,2020,1,1,1,1,2,1,2,1,1640,217200000
Northern Province,Gakenke,Kamubuga,House,3,3,140,0,2012,0,1,1,1,2,1,2,0,280,34500000
Southern Province,Ruhango,Kabagali,Apartment,1,1,46,2,2018,0,1,1,1,1,1,1,1,210,10900000
Northern Province,Gicumbi,Rubaya,House,4,3,153,1,2002,1,1,1,1,2,1,0,1,560,54200000
Western Province,Rusizi,Nkombo,House,3,2,88,2,2024,1,1,1,0,1,2,1,1,210,31300000
Eastern Province,Rwamagana,Muhazi,Apartment,1,1,33,0,2019,0,1,1,1,1,0,1,1,100,8000000
Northern Province,Gicumbi,Miyove,Apartment,1,1,34,3,2006,1,1,1,1,1,1,1,1,60,8300000
Southern Province,Huye,Gishamvu,House,3,3,149,1,2009,0,1,1,1,1,1,2,2,600,56400000
Eastern Province,Gatsibo,Gitoki,Apartment,1,1,33,0,2022,1,1,0,1,2,2,1,2,90,5800000
Southern Province,Nyaruguru,Muganza,Apartment,3,2,88,2,1996,1,1,1,1,2,2,0,2,210,19600000
Western Province,Nyabihu,Rugera,Villa,3,3,140,2,2019,0,1,1,1,1,2,2,2,340,52300000
Southern Province,Nyamagabe,Gatare,Apartment,2,2,91,3,2006,1,1,1,1,1,1,1,2,380,27800000
Eastern Province,Ngoma,Mugesera,Mansion,6,5,318,0,2019,1,1,0,1,1,2,1,1,600,102100000
Western Province,Ngororero,Matyazo,Mansion,6,5,348,1,2000,1,1,1,1,1,2,0,1,1010,154400000
Southern Province,Ruhango,Mbuye,House,2,1,88,1,2020,1,1,1,1,0,0,0,0,210,21800000
Western Province,Rusizi,Gikundamvura,House,2,2,86,2,2007,0,1,1,1,2,2,1,0,310,21700000
Southern Province,Gisagara,Ndora,House,3,3,110,2,2004,0,1,1,1,2,2,1,1,360,31500000
Eastern Province,Nyagatare,Kiyombe,Villa,5,4,224,2,1999,0,1,1,0,1,1,2,2,710,83700000
Southern Province,Gisagara,Kibilizi,Mansion,6,6,284,1,2004,1,1,1,1,2,2,1,1,800,134200000
Southern Province,Ruhango,Ntongwe,Villa,4,4,193,1,1997,0,0,1,1,2,2,0,1,700,68700000
Northern Province,Musanze,Shingiro,Apartment,1,1,30,2,2006,1,1,0,1,1,2,1,1,90,7200000
Western Province,Nyamasheke,Ruharambuga,Mansion,5,4,318,2,2004,1,0,0,1,2,1,1,1,540,97200000
Southern Province,Kamonyi,Karama,Mansion,6,5,342,0,2012,1,1,0,1,2,2,1,1,860,117600000
Northern Province,Rulindo,Masoro,Villa,3,2,136,3,2009,1,1,1,1,1,2,1,1,220,34100000
Southern Province,Ruhango,Kinazi,Mansion,4,4,189,0,2024,1,1,0,1,0,2,0,2,870,89300000
Eastern Province,Ngoma,Sake,Villa,3,3,106,0,2014,0,1,1,1,1,2,2,1,530,31200000
Southern Province,Nyamagabe,Kibirizi,Apartment,3,3,81,1,2000,1,1,0,1,2,1,1,0,220,20400000
Western Province,Rusizi,Bweyeye,House,3,3,132,1,1996,1,1,1,1,1,1,0,2,220,30800000
Southern Province,Muhanga,Kibangu,House,3,2,121,2,2010,1,1,1,1,0,1,2,2,210,37300000
Northern Province,Musanze,Muhoza,Apartment,1,1,42,2,2023,1,1,1,1,2,1,0,1,140,13000000
Northern Province,Rulindo,Bushoki,House,4,4,198,1,1998,1,1,1,1,1,0,0,1,540,62100000
Western Province,Rubavu,Mudende,Apartment,2,2,55,2,2025,1,1,0,1,2,1,1,1,140,20700000
Western Province,Rusizi,Bweyeye,Villa,3,2,105,1,2008,1,1,1,1,2,2,1,1,350,36600000
Northern Province,Gicumbi,Bukure,Mansion,5,4,248,1,2020,1,1,0,1,1,1,1,1,770,107700000
Eastern Province,Gatsibo,Gitoki,Mansion,6,5,250,0,1997,0,1,1,1,0,2,1,1,400,69700000
Eastern Province,Kirche,Mpanga,Apartment,3,2,92,2,2011,0,1,1,1,1,1,2,2,330,31900000
Western Province,Ngororero,Kageyo,Villa,5,4,188,0,2005,1,1,0,1,1,2,1,2,330,66100000
Northern Province,Musanze,Muhoza,House,2,2,83,3,2012,1,1,1,1,1,0,0,2,370,31600000
Western Province,Rutsiro,Cyanika,Apartment,2,1,56,2,2005,1,1,0,1,2,1,2,1,280,18500000
Eastern Province,Kayonza,Gahini,Mansion,6,5,401,2,2003,1,1,1,1,1,2,1,0,1600,199300000
Northern Province,Musanze,Remera,Villa,5,4,270,1,2009,0,1,1,1,1,2,1,1,750,127300000
Eastern Province,Kirche,Kirche,Villa,4,3,208,2,2005,1,1,1,1,2,2,2,1,410,61100000
Eastern Province,Rwamagana,Nyakaliro,Mansion,6,6,251,3,2013,1,0,0,1,1,2,1,1,540,100300000
Eastern Province,Gatsibo,Rwimbogo,Villa,4,3,193,1,1999,1,1,1,1,2,2,2,2,700,60000000
Northern Province,Musanze,Kinigi,House,2,2,62,1,2018,1,1,0,1,1,2,1,1,280,24200000
Western Province,Karongi,Mubuga,Apartment,1,1,41,2,2008,0,1,1,1,1,2,1,2,100,10600000
Kigali City,Kicukiro,Gahanga,Villa,5,5,277,1,2003,1,1,1,1,2,1,2,2,1340,264800000
Western Province,Nyamasheke,Karambi,Apartment,3,2,89,2,2002,1,1,0,1,2,0,1,2,330,25200000
Kigali City,Nyarugenge,Kimisagara,Villa,3,2,148,1,2004,0,1,1,1,1,2,2,1,660,94100000
Eastern Province,Nyagatare,Matimba,Mansion,5,5,221,3,2024,1,1,1,1,1,1,1,0,580,103800000
Kigali City,Gasabo,Remera,Villa,4,4,192,2,2011,0,1,1,1,0,0,2,1,530,170400000
Northern Province,Gakenke,Kamubuga,House,3,3,131,1,2013,1,1,1,1,0,0,1,1,640,53100000
Eastern Province,Rwamagana,Gishali,Mansion,5,5,233,0,2018,1,1,1,1,2,2,1,1,590,100200000
Eastern Province,Gatsibo,Remera,House,2,2,87,1,2007,1,1,0,1,2,2,1,1,350,19000000
Eastern Province,Nyagatare,Rwempasha,Villa,4,4,150,0,2012,1,1,1,1,1,2,0,1,390,39500000
Eastern Province,Kayonza,Rukara,House,3,3,147,2,2002,1,1,1,1,1,0,2,2,550,37400000
Northern Province,Burera,Cyeru,House,4,3,133,1,2002,1,1,1,1,2,2,1,2,510,40300000
Northern Province,Burera,Kagogo,Villa,4,4,141,3,1996,0,1,1,1,2,1,1,0,700,67300000
Kigali City,Gasabo,Remera,House,3,2,154,2,1998,1,1,1,1,1,1,0,0,300,84700000
Southern Province,Huye,Ruhashya,House,4,3,154,2,2006,1,1,1,1,1,2,2,2,430,53900000
Southern Province,Huye,Rusatira,Villa,4,3,193,2,2024,1,1,1,1,2,1,1,2,680,84300000
Eastern Province,Ngoma,Mutenderi,Villa,4,4,151,0,1999,0,1,0,1,1,0,1,2,610,54300000
Kigali City,Gasabo,Remera,Villa,5,5,269,3,2003,0,1,0,1,2,1,1,1,1110,298100000
Northern Province,Burera,Ruhunde,Apartment,3,3,94,2,2024,0,1,1,1,1,1,2,1,370,44000000
Kigali City,Gasabo,Nyarutarama,Villa,3,3,113,0,2007,0,1,1,1,2,1,1,2,300,83300000
Western Province,Nyamasheke,Karambi,Villa,3,3,123,0,2018,0,1,1,1,0,2,1,2,590,39700000
Southern Province,Gisagara,Kibilizi,Apartment,3,2,94,1,2013,1,0,1,1,1,2,1,1,400,26900000
Western Province,Nyamasheke,Bushekeri,House,2,2,91,3,2021,1,1,1,0,2,0,1,2,190,29500000
Western Province,Nyabihu,Rugera,Apartment,3,3,76,3,2016,1,1,1,1,0,1,1,2,170,29900000
Eastern Province,Gatsibo,Gatsibo,Mansion,5,5,311,3,1997,0,1,1,1,1,2,2,2,510,114900000
Kigali City,Nyarugenge,Kigali,Apartment,1,1,42,1,2019,1,1,1,1,1,2,2,1,140,27300000
Western Province,Rubavu,Kanzenze,House,3,3,96,2,2001,1,1,1,1,0,2,2,1,340,34800000
Western Province,Nyamasheke,Nyabitekeri,House,3,3,147,3,1999,1,1,1,1,2,2,0,1,510,41400000
Western Province,Rubavu,Nyundo,Villa,4,4,129,2,2019,0,1,1,1,1,1,1,1,250,60500000
Eastern Province,Bugesera,Mwogo,House,3,3,85,1,2021,1,1,1,1,1,1,2,1,310,27800000
Eastern Province,Gatsibo,Nyagihanga,House,3,2,109,0,2024,1,1,1,1,1,1,1,1,300,30400000
Northern Province,Burera,Rugarama,Villa,3,2,131,3,2024,1,1,1,1,1,0,2,2,520,51500000
Western Province,Rusizi,Kamembe,House,2,1,75,2,2010,1,1,1,1,2,0,0,1,200,19800000
Eastern Province,Bugesera,Gashora,House,4,3,120,1,2000,0,1,0,1,2,2,1,0,540,36600000
Western Province,Nyamasheke,Karengera,Villa,3,3,102,0,1997,1,1,1,1,2,1,1,1,270,28100000
Western Province,Ngororero,Kavumu,Villa,5,5,225,3,2022,0,0,1,1,1,1,1,2,350,113000000
Kigali City,Gasabo,Kagarama,House,4,4,151,2,2009,0,1,0,1,2,1,0,1,480,121300000
Western Province,Ngororero,Bwira,Villa,4,3,148,2,2015,1,1,1,1,1,1,2,1,580,67900000
Northern Province,Burera,Gitovu,House,3,2,92,3,1998,1,1,1,1,2,0,1,2,160,22600000
Northern Province,Burera,Bungwe,House,2,2,64,1,2015,1,1,1,1,1,1,1,2,170,20600000
Eastern Province,Rwamagana,Muhazi,Mansion,5,5,296,0,2020,1,1,1,1,2,1,1,2,960,110600000
Northern Province,Gicumbi,Nyamiyaga,Apartment,1,1,48,2,2002,1,1,1,1,1,2,0,2,240,11900000
Northern Province,Gakenke,Muyongwe,Apartment,2,1,57,1,1997,1,1,0,1,0,2,0,2,120,14900000
Western Province,Rubavu,Busasamana,Mansion,6,5,397,2,2020,0,1,1,1,2,1,0,1,940,190600000
Northern Province,Gicumbi,Miyove,Apartment,3,2,76,1,2016,1,1,1,0,1,2,1,2,340,25800000
Western Province,Rusizi,Nkungu,House,3,2,141,2,2022,1,1,0,1,1,1,1,1,380,45200000
Eastern Province,Gatsibo,Rugarama,House,3,3,106,1,2002,1,0,0,1,1,0,1,1,520,38500000
Eastern Province,Gatsibo,Gatsibo,Apartment,1,1,40,1,1998,1,1,1,1,1,2,0,2,120,6700000
Southern Province,Nyanza,Kibirizi,Mansion,4,3,188,2,2025,0,0,0,1,0,1,2,2,820,78200000
Eastern Province,Kirche,Kirche,House,3,2,108,2,2004,1,1,1,1,1,1,0,2,460,37700000
Southern Province,Nyamagabe,Musebeya,Apartment,2,2,62,0,2023,1,1,1,1,2,0,1,0,160,14800000
Western Province,Nyamasheke,Bushekeri,House,4,3,126,3,2012,1,1,1,1,1,2,1,1,290,38100000
Northern Province,Burera,Rusarabuye,House,2,2,61,0,2009,0,1,1,1,1,2,2,1,230,15200000
Northern Province,Musanze,Cyuve,Villa,5,5,256,1,2012,0,1,1,1,2,2,1,1,1250,137900000
Eastern Province,Bugesera,Kamabuye,Villa,5,5,261,1,2021,1,1,1,1,1,0,1,2,980,106100000
Eastern Province,Kayonza,Ruramira,Apartment,2,2,52,3,2006,1,1,1,1,2,2,0,2,210,12200000
Southern Province,Nyanza,Nyagisozi,Apartment,3,2,75,1,2008,0,1,1,1,2,0,2,1,370,25000000
Western Province,Rubavu,Rugerero,Apartment,3,3,94,1,2012,1,1,1,1,2,2,2,1,300,36200000
Northern Province,Musanze,Remera,House,5,4,257,0,1995,0,1,1,1,2,2,1,2,660,88500000
Eastern Province,Rwamagana,Mwulire,House,5,4,213,2,2007,1,1,0,1,1,2,2,1,1040,94800000
Western Province,Karongi,Rugabano,House,2,1,61,1,1997,0,1,1,1,1,1,1,1,150,14200000
Southern Province,Huye,Kigoma,House,3,3,147,0,1995,1,1,1,0,2,1,2,1,240,33900000
Southern Province,Kamonyi,Kayumbu,Villa,4,3,127,1,1995,1,1,0,1,1,2,1,1,350,37500000
Eastern Province,Bugesera,Musenyi,Apartment,3,2,86,0,2010,1,0,1,1,1,2,1,1,220,18100000
Western Province,Rubavu,Rubavu,Apartment,2,1,63,1,2017,1,0,1,1,1,1,2,2,260,19200000
Western Province,Rubavu,Gisenyi,Apartment,1,1,54,2,2006,0,1,1,1,2,2,2,2,170,15900000
Northern Province,Rulindo,Rusiga,Apartment,3,3,82,2,2003,1,1,1,1,2,0,0,2,220,26300000
Northern Province,Gicumbi,Giti,Apartment,3,2,90,1,1996,1,1,1,1,0,1,1,2,410,26700000
Eastern Province,Nyagatare,Karangazi,House,3,2,126,3,1999,0,1,0,1,2,2,2,2,320,31300000
Eastern Province,Kayonza,Rwinkwavu,House,4,3,188,1,2012,0,1,1,1,1,1,1,1,600,58200000
Western Province,Nyabihu,Jenda,Villa,4,4,151,1,2001,1,1,1,1,1,0,2,0,540,62100000
Northern Province,Musanze,Remera,Mansion,4,3,209,0,2019,0,1,0,1,1,2,0,1,970,106600000
